tx_id,timestamp,account_id,merchant_id,amount,country,channel
g1,2026-04-30T12:00:00,A7,COFFEE_03,17.74,ES,online
g2,2026-04-30T12:00:02,A10,GROCERY_17,22.73,ES,card
g3,2026-04-30T12:00:04,A11,TRANSPORT_01,24.71,DE,online
g4,2026-04-30T12:00:05,A9,FUEL_12,20.03,DE,card
g5,2026-04-30T12:00:08,A17,TRANSPORT_01,22.76,FR,card
g6,2026-04-30T12:00:09,A3,FUEL_12,10.25,FR,online
g7,2026-04-30T12:00:11,A2,COFFEE_03,27.79,DE,card
g8,2026-04-30T12:00:14,A14,FUEL_12,21.57,ES,online
g9,2026-04-30T12:00:16,A4,PHARMACY_08,11.68,ES,online
g10,2026-04-30T12:00:18,A2,TRANSPORT_01,25.28,ES,online
g11,2026-04-30T12:00:19,A15,CRYPTO_BROKER_2,198.95,FR,online
g12,2026-04-30T12:00:22,A5,JEWELRY_9,264.87,DE,online
g13,2026-04-30T12:00:24,A14,GROCERY_17,19.44,DE,online
g14,2026-04-30T12:00:25,A14,GROCERY_17,21.66,ES,online
g15,2026-04-30T12:00:27,A2,CRYPTO_BROKER_2,275.61,ES,card
g16,2026-04-30T12:00:29,A14,FUEL_12,19.14,DE,atm
g17,2026-04-30T12:00:32,A20,TRANSPORT_01,28.02,FR,card
g18,2026-04-30T12:00:34,A15,PHARMACY_08,17.81,ES,card
g19,2026-04-30T12:00:36,A6,FUEL_12,31.77,PL,card
g20,2026-04-30T12:00:37,A18,NETFLIX,20.27,DE,card
g21,2026-04-30T12:00:40,A8,PHARMACY_08,24.62,FR,online
g22,2026-04-30T12:00:41,A1,FUEL_12,11.9,FR,online
g23,2026-04-30T12:00:43,A16,NETFLIX,21.26,DE,online
g24,2026-04-30T12:00:46,A11,PHARMACY_08,12.93,ES,card
g25,2026-04-30T12:00:47,A20,FUEL_12,28.11,PL,online
g26,2026-04-30T12:00:50,A8,JEWELRY_9,275.21,DE,online
g27,2026-04-30T12:00:52,A15,GROCERY_17,23.94,ES,card
g28,2026-04-30T12:00:53,A9,GROCERY_17,15.33,ES,online
g29,2026-04-30T12:00:56,A2,PHARMACY_08,22.36,DE,card
g30,2026-04-30T12:00:58,A10,COFFEE_03,22.95,FR,card
g31,2026-04-30T12:01:00,A3,GROCERY_17,27.24,ES,online
g32,2026-04-30T12:01:01,A9,GROCERY_17,17.59,FR,card
g33,2026-04-30T12:01:04,A4,FUEL_12,19.68,PL,card
g34,2026-04-30T12:01:06,A5,PHARMACY_08,15.82,PL,card
g35,2026-04-30T12:01:07,A3,TRANSPORT_01,16.01,FR,card
g36,2026-04-30T12:01:10,A1,NETFLIX,20.84,ES,online
g37,2026-04-30T12:01:12,A6,PHARMACY_08,20.07,ES,card
g38,2026-04-30T12:01:14,A10,SALARY_PAYROLL,2182.2,ES,transfer
g39,2026-04-30T12:01:16,A6,FUEL_12,20.67,ES,online
g40,2026-04-30T12:01:18,A4,FUEL_12,29.4,ES,card
g41,2026-04-30T12:01:20,A20,JEWELRY_9,426.95,PL,online
g42,2026-04-30T12:01:21,A13,COFFEE_03,10.01,DE,card
g43,2026-04-30T12:01:24,A13,TRANSPORT_01,13.12,ES,online
g44,2026-04-30T12:01:26,A7,PHARMACY_08,35.6,DE,card
g45,2026-04-30T12:01:28,A6,TRANSPORT_01,10.86,FR,card
g46,2026-04-30T12:01:29,A15,TRANSPORT_01,20.71,DE,online
g47,2026-04-30T12:01:32,A10,FUEL_12,10.25,FR,card
g48,2026-04-30T12:01:33,A12,GROCERY_17,17.78,PL,card
g49,2026-04-30T12:01:36,A14,PHARMACY_08,12.98,DE,online
g50,2026-04-30T12:01:37,A7,GROCERY_17,12.23,ES,card
g51,2026-04-30T12:01:40,A3,FUEL_12,21.74,FR,card
g52,2026-04-30T12:01:41,A12,TRANSPORT_01,13.56,PL,card
g53,2026-04-30T12:01:43,A15,PHARMACY_08,32.9,DE,card
g54,2026-04-30T12:01:46,A3,FUEL_12,17.94,ES,card
g55,2026-04-30T12:01:48,A8,COFFEE_03,20.3,ES,online
g56,2026-04-30T12:01:49,A4,GROCERY_17,36.72,FR,online
g57,2026-04-30T12:01:51,A16,COFFEE_03,16.25,PL,card
g58,2026-04-30T12:01:53,A20,LUXURY_WATCH_4,243.59,PL,card
g59,2026-04-30T12:01:56,A16,COFFEE_03,17.59,DE,card
